iter	Passed	Remaining
767	3520	1063
768	3523	1058
769	3526	1053
770	3531	1048
771	3535	1044
772	3538	1039
773	3544	1035
774	3549	1030
775	3558	1027
776	3565	1023
777	3570	1018
778	3576	1014
779	3580	1009
780	3584	1005
781	3588	1000
782	3593	996
783	3595	990
784	3597	985
785	3603	981
786	3608	976
787	3612	971
788	3614	966
789	3619	962
790	3622	957
791	3626	952
792	3631	947
793	3636	943
794	3640	938
795	3642	933
796	3646	928
797	3649	923
798	3651	918
799	3654	913
800	3659	909
801	3665	905
802	3667	899
803	3670	894
804	3672	889
805	3674	884
806	3678	879
807	3681	874
808	3683	869
809	3685	864
810	3689	859
811	3692	854
812	3695	850
813	3700	845
814	3704	840
815	3706	835
816	3709	830
817	3713	826
818	3718	821
819	3721	816
820	3723	811
821	3729	807
822	3733	803
823	3737	798
824	3742	793
825	3745	789
826	3748	784
827	3750	779
828	3754	774
829	3761	770
830	3768	766
831	3774	762
832	3777	757
833	3782	752
834	3786	748
835	3788	743
836	3792	738
837	3798	734
838	3803	729
839	3807	725
840	3810	720
841	3812	715
842	3816	710
843	3820	706
844	3822	701
845	3824	696
846	3826	691
847	3827	686
848	3832	681
849	3836	676
850	3837	671
851	3838	666
852	3840	661
853	3841	656
854	3842	651
855	3844	646
856	3845	641
857	3846	636
858	3848	631
859	3849	626
860	3851	621
861	3852	616
862	3853	611
863	3854	606
864	3856	601
865	3857	596
866	3858	591
867	3860	587
868	3861	582
869	3862	577
870	3864	572
871	3865	567
872	3867	562
873	3868	557
874	3869	552
875	3870	547
876	3871	543
877	3873	538
878	3874	533
879	3875	528
880	3877	523
881	3878	518
882	3879	514
883	3880	509
884	3881	504
885	3882	499
886	3884	494
887	3885	490
888	3886	485
889	3887	480
890	3889	475
891	3890	471
892	3891	466
893	3892	461
894	3893	456
895	3895	452
896	3896	447
897	3897	442
898	3898	438
899	3899	433
900	3901	428
901	3902	423
902	3903	419
903	3904	414
904	3906	410
905	3907	405
906	3908	400
907	3909	396
908	3910	391
909	3912	386
910	3913	382
911	3914	377
912	3915	373
913	3916	368
914	3918	363
915	3919	359
916	3920	354
917	3921	350
918	3923	345
919	3924	341
920	3925	336
921	3927	332
922	3928	327
923	3929	323
924	3930	318
925	3931	314
926	3932	309
927	3934	305
928	3935	300
929	3936	296
930	3938	291
931	3939	287
932	3941	283
933	3942	278
934	3944	274
935	3945	269
936	3949	265
937	3951	261
938	3953	256
939	3955	252
940	3960	248
941	3964	244
942	3966	239
943	3968	235
944	3969	231
945	3971	226
946	3972	222
947	3974	218
948	3976	213
949	3977	209
950	3979	205
951	3980	200
952	3981	196
953	3982	192
954	3985	187
955	3986	183
956	3987	179
957	3989	174
958	3990	170
959	3992	166
960	3993	162
961	3994	157
962	3996	153
963	3997	149
964	3999	145
965	4000	140
966	4001	136
967	4002	132
968	4004	128
969	4006	123
970	4008	119
971	4011	115
972	4013	111
973	4014	107
974	4015	102
975	4016	98
976	4017	94
977	4019	90
978	4020	86
979	4023	82
980	4024	77
981	4025	73
982	4026	69
983	4027	65
984	4029	61
985	4030	57
986	4031	53
987	4033	48
988	4034	44
989	4036	40
990	4037	36
991	4039	32
992	4040	28
993	4042	24
994	4043	20
995	4044	16
996	4045	12
997	4046	8
998	4049	4
999	4051	0
